cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00580480,"P60006046","Walker, Scott","TODD ENGLISH",300,21-AUG-15,"BIRMINGHAM","AL","35203","EVENSON 09/09 REIMBURSEMENT: TRAVEL: OTH","X","","SB23","1057127","SB23.5861","P2016",
C00580480,"P60006046","Walker, Scott","ATLASSIAN PTY LTD",210,24-AUG-15,"SYDNEY","AL","","BOLDING 09/24 REIMBURSEMENT: TRAVEL: OTH","X","","SB23","1057127","SB23.4308","P2016",
C00580480,"P60006046","Walker, Scott","ATLASSIAN PTY LTD",250,24-JUL-15,"SYDNEY","AL","","BOLDING 09/24 REIMBURSEMENT: TRAVEL: OTH","X","","SB23","1057127","SB23.4307","P2016",
C00580480,"P60006046","Walker, Scott","ATLASSIAN PTY LTD",30,29-JUN-15,"SYDNEY","AL","","BOLDING 09/24 REIMBURSEMENT: TRAVEL: OTH","X","","SB23","1057127","SB23.4306","P2016",
C00580480,"P60006046","Walker, Scott","TODD ENGLISH",20.6,20-AUG-15,"BIRMINGHAM","AL","35203","HANNA 09/24 REIMBURSEMENT: TRAVEL: OTHER","X","","SB23","1057127","SB23.5862","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",44.18,15-JUL-15,"BENTONVILLE","AR","72716","MARTIN 08/07 REIMBURSEMENT: EVENT STAGIN","X","","SB23","1057127","SB23.6200","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",48.02,10-AUG-15,"BENTONVILLE","AR","72716","CRUZ REIMBURSEMENT: OFFICE SUPPLIES","X","","SB23","1057130","SB23.139907","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",115.85,18-JUL-15,"BENTONVILLE","AR","72716","CRUZ 09/24 REIMBURSEMENT: MEETING EXPENS","X","","SB23","1057127","SB23.6189","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",60.81,18-JUL-15,"BENTONVILLE","AR","72716","CRUZ 09/24 REIMBURSEMENT: MEETING EXPENS","X","","SB23","1057127","SB23.6190","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",18.92,27-JUL-15,"BENTONVILLE","AR","72716","RHODEN 08/07 REIMBURSEMENT: TRAVEL: OTHE","X","","SB23","1057127","SB23.6203","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",13.36,15-SEP-15,"BENTONVILLE","AR","72716","NEITZEL 09/24 REIMBURSEMENT: OFFICE SUPP","X","","SB23","1057127","SB23.6202","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",2.54,14-JUL-15,"BENTONVILLE","AR","72716","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: OT","X","","SB23","1057127","SB23.6191","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",24.72,30-JUL-15,"BENTONVILLE","AR","72716","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: OT","X","","SB23","1057127","SB23.6193","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",20.2,06-AUG-15,"BENTONVILLE","AR","72716","BERUBE 08/07 REIMBURSEMENT: OFFICE SUPPL","X","","SB23","1057127","SB23.6187","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",40.37,06-AUG-15,"BENTONVILLE","AR","72716","CORNELL 09/09 REIMBURSEMENT: OFFICE SUPP","X","","SB23","1057127","SB23.6188","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",21.82,21-AUG-15,"BENTONVILLE","AR","72716","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: OT","X","","SB23","1057127","SB23.6194","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",17.18,27-AUG-15,"BENTONVILLE","AR","72716","HANNA 09/24 REIMBURSEMENT: TRAVEL: OTHER","X","","SB23","1057127","SB23.6197","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",6.68,04-SEP-15,"BENTONVILLE","AR","72716","YOUNG 09/24 REIMBURSEMENT: OFFICE SUPPLI","X","","SB23","1057127","SB23.6204","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",46.97,15-SEP-15,"BENTONVILLE","AR","72716","NEITZEL 09/24 REIMBURSEMENT: OFFICE SUPP","X","","SB23","1057127","SB23.6201","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",8.16,15-JUL-15,"BENTONVILLE","AR","72716","HANNA 09/24 REIMBURSEMENT: TRAVEL: OTHER","X","","SB23","1057127","SB23.6196","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",16.32,15-JUL-15,"BENTONVILLE","AR","72716","HANNA 09/24 REIMBURSEMENT: TRAVEL: OTHER","X","","SB23","1057127","SB23.6195","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",18.54,14-JUL-15,"BENTONVILLE","AR","72716","LUKACH 09/09 REIMBURSEMENT: OFFICE SUPPL","X","","SB23","1057127","SB23.6199","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",29.94,14-JUL-15,"BENTONVILLE","AR","72716","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: OT","X","","SB23","1057127","SB23.6192","P2016",
C00580480,"P60006046","Walker, Scott","WALMART",13.46,16-JUL-15,"BENTONVILLE","AR","72716","HERSHNER 08/07 REIMBURSEMENT: TRAVEL: OT","X","","SB23","1057127","SB23.6198","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",49,17-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139876","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",49,17-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139877","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",442.6,17-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139898","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",442.6,17-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139899","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",49,18-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139878","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",273.1,18-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139890","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",442.6,18-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139900","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",22,21-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139866","P2016",
C00580480,"P60006046","Walker, Scott","MBA INSURANCE",847,12-JUL-15,"SCOTTSDALE","AZ","85260","DINERS CLUB MASTERCARD 07/23: INSURANCE","X","","SB23","1057127","SB23.5201","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",25,04-AUG-15,"PHOENIX","AZ","85034","HALL REIMBURSEMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139867","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",242.1,20-AUG-15,"PHOENIX","AZ","85034","GRIFFITH REIMBURSEMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139888","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",381.7,27-AUG-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139892","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",489.6,01-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139902","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",25,02-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139868","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",25,02-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139869","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",268.1,02-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139889","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",333.1,02-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139891","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",148.1,09-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139879","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",148.67,07-SEP-15,"PHOENIX","AZ","85016","FADNESS REIMBURSEMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139442","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139430","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139431","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139432","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139433","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139434","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139435","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139436","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139437","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139438","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139439","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,19-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139440","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",145.59,20-SEP-15,"PHOENIX","AZ","85016","CREDIT CARD PAYMENT: TRAVEL: LODGING","X","","SB23","1057130","SB23.139441","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",458.7,10-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139901","P2016",
