cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00579458,"P60008059","Bush, Jeb","ALASKA REPUBLICAN PARTY FEDERAL VICTORY",500,11-SEP-15,"ANCHORAGE","AK","99503","FACILITY RENTAL","","","SB23","1047239","SB23.I7969","P2016",
C00579458,"P60008059","Bush, Jeb","ALASKA REPUBLICAN PARTY",2500,21-OCT-15,"ANCHORAGE","AK","99503","BALLOT ACCESS FEE","","","SB23","1072235","SB23.I9261","P2016",
C00579458,"P60008059","Bush, Jeb","THE CLUB INC",1145.6,16-OCT-15,"BIRMINGHAM","AL","35209","FACILITY RENTAL/CATERING","X","","SB23","1072235","SB23.I17793","P2016",
C00579458,"P60008059","Bush, Jeb","HILL RESEARCH CONSULTANTS",8000,02-NOV-15,"AUBURN","AL","36831","RESEARCH CONSULTING","","","SB23","1072235","SB23.I9486","P2016",
C00579458,"P60008059","Bush, Jeb","HILL RESEARCH CONSULTANTS",49665,22-JUN-15,"AUBURN","AL","36831","SURVEY RESEARCH","","","SB23","1047229","SB23.55","P2016",
C00579458,"P60008059","Bush, Jeb","HILL RESEARCH CONSULTANTS",10000,04-SEP-15,"AUBURN","AL","36831","RESEARCH CONSULTING","","","SB23","1047239","SB23.I7912","P2016",
C00579458,"P60008059","Bush, Jeb","HILL RESEARCH CONSULTANTS",10000,03-AUG-15,"AUBURN","AL","36831","RESEARCH CONSULTING","","","SB23","1047239","SB23.I3806","P2016",
C00579458,"P60008059","Bush, Jeb","HILL RESEARCH CONSULTANTS",38000,25-AUG-15,"AUBURN","AL","36831","RESEARCH CONSULTING","","","SB23","1047239","SB23.I3868","P2016",
C00579458,"P60008059","Bush, Jeb","ALABAMA REPUBLICAN PARTY",10000,01-OCT-15,"BIRMINGHAM","AL","35216","BALLOT ACCESS FEE","","","SB23","1072235","SB23.I8976","P2016",
C00579458,"P60008059","Bush, Jeb","BAKER, COALTER",55,08-SEP-15,"BIRMINGHAM","AL","35205","PER DIEM","X","","SB23","1047239","SB23.I8609","P2016",
C00579458,"P60008059","Bush, Jeb","BAKER, COALTER",35,08-SEP-15,"BIRMINGHAM","AL","35205","PER DIEM","X","","SB23","1047239","SB23.I8610","P2016",
C00579458,"P60008059","Bush, Jeb","BAKER, COALTER",35,08-SEP-15,"BIRMINGHAM","AL","35205","PER DIEM","X","","SB23","1047239","SB23.I8611","P2016",
C00579458,"P60008059","Bush, Jeb","LESTER, JAMES R",3000,15-DEC-15,"AUBURN","AL","36830","BALLOT ACCESS CONSULTING","","","SB23","1072235","SB23.I10184","P2016",
C00579458,"P60008059","Bush, Jeb","LESTER, JAMES R",1500,06-NOV-15,"AUBURN","AL","36830","BALLOT ACCESS CONSULTING","","","SB23","1072235","SB23.I9531","P2016",
C00579458,"P60008059","Bush, Jeb","LESTER, JAMES R",1500,02-DEC-15,"AUBURN","AL","36830","BALLOT ACCESS CONSULTING","","","SB23","1072235","SB23.I9973","P2016",
C00579458,"P60008059","Bush, Jeb","HILL RESEARCH CONSULTANTS",8000,15-OCT-15,"AUBURN","AL","36831","RESEARCH CONSULTING","","","SB23","1072235","SB23.I9233","P2016",
C00579458,"P60008059","Bush, Jeb","HILL RESEARCH CONSULTANTS",128340,26-OCT-15,"AUBURN","AL","36831","RESEARCH CONSULTING","","","SB23","1072235","SB23.I9282","P2016",
C00579458,"P60008059","Bush, Jeb","LESTER, JAMES R",1500,06-JAN-16,"AUBURN","AL","36830","BALLOT ACCESS CONSULTING","","","SB23","1057122","SB23.I24526","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",211.33,16-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I20978","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",86.56,02-OCT-15,"BENTONVILLE","AR","72716","COMPUTER EQUIPMENT","X","","SB23","1072235","SB23.I21808","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",126.26,02-OCT-15,"BENTONVILLE","AR","72716","COMPUTER EQUIPMENT","X","","SB23","1072235","SB23.I21810","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",35.84,02-OCT-15,"BENTONVILLE","AR","72716","COMPUTER EQUIPMENT","X","","SB23","1072235","SB23.I21814","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",88.76,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21816","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",80.12,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21817","P2016",
